Spectraltype,Temperature (K),absolute-magnitude
M8V,2550,18.38414669
M6Ve,3042,15.52723222
G1V,6176,3.645735735
G8V,5409,5.12046537
G0V,6075,5.013739346
G6V,5539,5.377757887
G0V,5951,4.298062903
G0V,5765,4.623064204
K0III,5049,2.511295376
F7V,6180,3.371561607
K2V,5143,5.73349612
K6III,4394,1.709084938
G0IV-V,5984,3.958399831
K4Vk,4714,6.874842219
G5V,5684,6.336194143
K1V,4990,6.23235554
F8V,6158,3.935988317
K0V,5140,5.585619661
G5V,5676,4.685319705
G5V,5571,5.230602839
G5V,5597,4.820469683
G5IV,5701,4.250129461
G5D,5035,2.135594549
K0III,5052,2.768588006
K0 IV,4854,2.23304305
G3VI,5714,4.635463323
K5V,4711,7.141608173
G0V,5871,4.75286701
G9.3V,5386,5.323642963
F8V,6024,4.54811356
K0V,5177,6.045318718
G0V,5835,4.122151613
F8V,5942,3.870292154
G1V,5768,4.407924132
G5V,5793,4.752151613
F8V,6107,3.439868783
F9V,6351,4.314407114
G1V,5911,4.37811356
F8V,6039,4.307757887
G0V,6153,3.995835473
G5IV,5641,3.730602839
G0V,6058,3.967698642
G8.5III,4975,0.564911591
G5IV,5522,3.840213277
G8V,5437,5.353739346
F9.9V,6001,3.765710623
G6V,5742,4.722607908
K2III,4553,0.469412487
K1V,5350,6.016791943
K2V,4871,6.104717422
G0V,5829,4.375319705
kA5hA8mF4,7560,3.005425414
G5IV,5533,3.82811356
F6V,6424,4.04787396
G1V,5936,3.725735735
G0IV,5996,3.464823144
G5III,5578,0.82709745
G0V,5997,4.22619203
K0III,4414,1.086241888
K0III,4651,2.552115855
M0V,3961,7.911825848
G0V,6079,3.801301743
G9V,5413,4.807397407
G9IV,5048,2.310020818
G8V,5408,5.160451978
K3V,4629,4.627708455
G5V,5485,4.874385924
F8V,5984,3.280973566
G5V,5501,5.827755378
G0V,5929,4.279535902
G8V,5401,5.344801034
G9.5V,5233,5.703642963
G2V,5636,4.624842219
K3/K4IV,4795,6.822247429
G8V,5288,5.085225339
G9IV,5247,5.380602839
G2.5V,5978,4.686877651
K2V,5116,6.19118567
K3V,5026,6.135650131
G2V,5754,3.607852807
G0V,5848,4.480517271
K2V,5087,5.739567444
F8V,5888,3.732912925
G0V,5853,4.177914225
G0V,5572,5.256758151
F8V,6159,4.08286701
G1V,5830,4.325233384
G5IV-V,5589,4.284501997
K2IVa,4749,3.152872107
G3IV,5712,4.965823588
K2V,4966,6.210451978
F5V,6429,3.697757887
G5V,5724,4.025032153
G5V,4758,5.76867892
G5V,5482,4.677736733
K0III,4901,0.270545491
K0III,5076,1.763909973
K5V,4612,6.08454027
M8.5V,2599,10.79707518
G8V,5607,4.79948993
M3V,3895,10.14152589
F8V,5861,3.664639909
K0III-IV,4982,2.709828517
M4V,3372,11.51683221
F8V,5960,3.622912925
G0V,5867,4.545279439
B8Iae,12000,-8.22663584
F7IV-V,6255,4.07267358
K0III-IV,5052,2.627923056
G3V,5995,3.181440288
K1III,4583,1.035169413
G0IV-V,5836,3.977914225
F6V,6251,3.494587601
G5IV,5699,5.191273523
B0.5Ia+,22500,-7.87663584
F9.5V,5945,3.7825821
G4V,5606,5.040168739
G1IV,5888,4.346375913
