pl_hostname,pl_letter,pl_name,st_teff,st_sp,st_lum,st_bmvj,absolute-magnitude
11 Com,b,11 Com b,4742,5,2.243,1.01,-0.111036794
11 UMi,b,11 UMi b,4213,5.4,,1.369,-0.481021862
14 And,b,14 And b,4813,4.8,1.763,1.02,0.834678273
14 Her,b,14 Her b,5338,5,,0.88,5.340887806
16 Cyg B,b,16 Cyg B b,5750,4.25,,0.66,4.596916664
18 Del,b,18 Del b,4979,4.6,1.602,0.924,1.09110173
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,4060,5.7,-0.37,,
24 Boo,b,24 Boo b,4893,4.3,1.774,0.864,0.662996309
24 Sex,b,24 Sex b,5098,5,1.164,0.958,2.148013275
24 Sex,c,24 Sex c,5098,5,1.164,0.958,2.148013275
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,3530,6.35,-1.72,,11.4584875
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,3064,6.6,-2.23,,
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,,6.85,,,
2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,,6.8,,,16.55334357
2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,,,,,4.273550901
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,2300,6.85,-3.48,,
2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,4045,5.7,,,8.163841401
30 Ari B,b,30 Ari B b,6331,3.6,,0.496,3.709976651
4 UMa,b,4 UMa b,4415,5.1,,1.17,0.276201083
42 Dra,b,42 Dra b,4200,5.15,,1.19,0.028136338
47 UMa,b,47 UMa b,5892,4,,0.61,4.350604568
47 UMa,c,47 UMa c,5892,4,,0.61,4.350604568
47 UMa,d,47 UMa d,5892,4,,0.61,4.350604568
51 Eri,b,51 Eri b,,3,0.85,0.28,2.888263348
51 Peg,b,51 Peg b,5793,4.25,,0.67,4.552548432
55 Cnc,b,55 Cnc b,5196,4.8,-0.235,0.87,5.459871349
55 Cnc,c,55 Cnc c,5196,4.8,-0.235,0.87,5.459871349
55 Cnc,d,55 Cnc d,5196,4.8,-0.235,0.87,5.459871349
55 Cnc,e,55 Cnc e,5196,4.8,-0.235,0.87,5.459871349
55 Cnc,f,55 Cnc f,5196,4.8,-0.235,0.87,5.459871349
6 Lyn,b,6 Lyn b,4938,5,,0.94,2.168476035
61 Vir,b,61 Vir b,5577,4.5,-0.095,0.71,5.0903522
61 Vir,c,61 Vir c,5577,4.5,-0.095,0.71,5.0903522
61 Vir,d,61 Vir d,5577,4.5,-0.095,0.71,5.0903522
7 CMa,b,7 CMa b,4792,5.1,1.053,1.05,2.434481749
70 Vir,b,70 Vir b,5495,4.4,,0.71,3.704522071
75 Cet,b,75 Cet b,4846,4.3,1.73,1.02,0.750688732
8 UMi,b,8 UMi b,4847,5,,0.985,0.821649102
81 Cet,b,81 Cet b,4785,4.5,1.778,1.02,0.617028069
91 Aqr,b,91 Aqr b,4665,5,,1.11,1.028792071
AB Pic,b,AB Pic b,,5.2,,0.883,5.627944688
BD+03 2562,b,BD+03 2562 b,4095,,2.7,1.27,-2.509848211
BD+14 4559,b,BD+14 4559 b,4864,5.2,,0.997,6.160486295
BD+15 2375,b,BD+15 2375 b,4649,4.5,1.57,1.05,0.866295197
BD+15 2940,b,BD+15 2940 b,4796,5,2.01,1.075,0.870542508
BD+20 2457,b,BD+20 2457 b,4259,5.2,,,3.244850022
BD+20 2457,c,BD+20 2457 c,4259,5.2,,,3.244850022
BD+20 274,b,BD+20 274 b,4296,5.5,1.96,1.358,-1.34544509
BD+20 594,b,BD+20 594 b,5766,4,,0.918,4.756937707
BD+48 738,b,BD+48 738 b,4414,5,1.69,,-0.612238078
BD+48 740,b,BD+48 740 b,4534,5.3,1.64,1.348,-0.46015698
BD+49 828,b,BD+49 828 b,4943,5,1.47,0.05,1.125598125
BD-06 1339,b,BD-06 1339 b,4324,5.85,-1.022,1.33,8.164660247
BD-06 1339,c,BD-06 1339 c,4324,5.85,-1.022,1.33,8.164660247
BD-08 2823,b,BD-08 2823 b,4816,5.3,,0.999,6.796047568
BD-08 2823,c,BD-08 2823 c,4816,5.3,,0.999,6.796047568
BD-10 3166,b,BD-10 3166 b,5393,5,,0.84,5.564550065
BD-11 4672,b,BD-11 4672 b,4475,5.7,,1.22,7.809186765
BD-13 2130,b,BD-13 2130 b,4545,4.5,,1.214,0.028856152
BD-17 63,b,BD-17 63 b,4665,5.5,,1.165,6.877534028
CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,580.5,,,,
CHXR 73,b,CHXR 73 b,,6.35,,,
CT Cha,b,CT Cha b,,5.5,,,
CoRoT-1,b,CoRoT-1 b,5950,4,,,4.07018454
CoRoT-10,b,CoRoT-10 b,5075,5.1,,,7.530904525
CoRoT-11,b,CoRoT-11 b,6440,3.6,,,4.198059865
CoRoT-12,b,CoRoT-12 b,5675,,,,5.211510798
CoRoT-13,b,CoRoT-13 b,5945,4,,,4.912470674
CoRoT-14,b,CoRoT-14 b,6035,3.9,,,5.397476008
CoRoT-16,b,CoRoT-16 b,5650,4.5,,,6.00860357
CoRoT-17,b,CoRoT-17 b,5740,4.2,,,5.641060863
CoRoT-18,b,CoRoT-18 b,5440,4.9,,,5.302403737
CoRoT-19,b,CoRoT-19 b,6090,3.9,0.544,,4.574546374
CoRoT-2,b,CoRoT-2 b,5625,,,,6.064850022
CoRoT-20,b,CoRoT-20 b,,4.2,,,4.976652311
CoRoT-20,c,CoRoT-20 c,,4.2,,,4.976652311
CoRoT-21,b,CoRoT-21 b,6200,3.8,,,5.271175311
CoRoT-22,b,CoRoT-22 b,5939,4.3,,0.796,5.082391466
CoRoT-23,b,CoRoT-23 b,5900,4,,,6.739243748
CoRoT-24,b,CoRoT-24 b,4950,5.1,,,
CoRoT-24,c,CoRoT-24 c,4950,5.1,,,
CoRoT-25,b,CoRoT-25 b,6040,3.9,,,
