Apparentmagnitude,Distance,Spectraltype,Temperature (K)
18.8,12.1107395,M8V,2550
11.1,1.301827846,M6Ve,3042
5.7,25.754484,G1V,6176
12.87,354.737357,G8V,5409
11.26,177.521979,G0V,6075
6.59,17.476257,G6V,5539
11.3,251.41282,G0V,5951
6.46,23.301676,G0V,5765
8.52,159.125919,K0III,5049
13.44,1032.018966,F7V,6180
11.8,163.418333,K2V,5143
9.17,310.586813,K6III,4394
9.01,102.404734,G0IV-V,5984
9.63,35.565716,K4Vk,4714
9.83,49.975963,G5V,5684
12.9,215.540503,K1V,4990
10.79,234.856366,F8V,6158
5.8,11.037636,K0V,5140
7.91,44.150544,G5V,5676
7.79,32.499706,G5V,5571
6.54,22.075272,G5V,5597
8.69,77.263452,G5IV,5701
7.82,137.050647,G5D,5035
8.06,114.362173,K0III,5052
5.99,56.414584,K0 IV,4854
7.72,41.391135,G3VI,5714
10.21,41.084534,K5V,4711
8.45,54.881579,G0V,5871
8.06,35.259115,G9.3V,5386
7.5,38.938327,F8V,6024
7.18,16.863055,K0V,5177
7.72,52.428771,G0V,5835
7.11,44.457145,F8V,5942
8.2,57.334387,G1V,5768
8.35,52.428771,G5V,5793
4.09,13.490444,F8V,6107
9.3,99.338724,F9V,6351
7.33,38.938327,G1V,5911
5.52,17.476257,F8V,6039
11.42,305.374596,G0V,6153
6.29,32.499706,G5IV,5641
7.54,51.815569,G0V,6058
4.7,67.145619,G8.5III,4975
6.42,32.806307,G5IV,5522
11.6,177.521979,G8V,5437
11.29,319.784843,F9.9V,6001
7.44,34.952514,G6V,5742
2,20.235666,K2III,4553
6.17,10.731035,K1V,5350
8.38,28.513893,K2V,4871
7.6,44.150544,G0V,5829
8.32,115.588577,kA5hA8mF4,7560
6.78,38.938327,G5IV,5533
7.1,40.777933,F6V,6424
5.78,25.754484,G1V,5936
7.28,57.947589,G0IV,5996
5.66,92.593502,G5III,5578
5.4,17.169656,G0V,5997
9.14,408.085931,K0III,4414
7.73,108.536754,K0III,4651
9.72,22.995075,M0V,3961
8.18,75.117245,G0V,6079
11.63,231.483755,G9V,5413
7.97,135.517642,G9IV,5048
8.37,43.843943,G8V,5408
15.26,1338.006764,K3V,4629
8.51,53.348574,G5V,5485
5.06,22.688474,F8V,5984
13.19,296.789768,G5V,5501
6.41,26.674287,G0V,5929
4.25,6.0400397,G8V,5401
8.44,35.259115,G9.5V,5233
7.38,35.565716,G2V,5636
10.15,46.296751,K3/K4IV,4795
10.55,123.866804,G8V,5288
7.94,32.499706,G9IV,5247
11.99,288.818142,G2.5V,5978
3.73,3.2193105,K2V,5116
18.24,2635.542196,K3V,5026
8.58,98.725522,G2V,5754
7.14,34.032711,G0V,5848
9.52,57.027786,K2V,5087
7.24,50.282564,F8V,5888
7.52,46.603352,G0V,5853
6.82,20.542267,G0V,5572
7.78,54.881579,F8V,6159
12.01,344.312923,G1V,5830
9.76,124.480006,G5IV-V,5589
4.44,18.089459,K2IVa,4749
8.25,45.376948,G3IV,5712
9.42,43.843943,K2V,4966
9.91,174.76257,F5V,6429
7.71,54.574978,G5V,5724
12.16,189.786019,G5V,4758
7.81,42.310938,G5V,5482
3.54,45.070347,K0III,4901
8.54,226.578139,K0III,5076
11.91,146.248677,K5V,4612
16.52,139.503455,M8.5V,2599
8.41,52.735372,G8V,5607
9.96,9.19803,M3V,3895
5.77,26.367686,F8V,5861
8.07,118.041385,K0III-IV,4982
11.96,12.26404,M4V,3372
7.13,50.282564,F8V,5960
7.48,38.631726,G0V,5867
10.6,58254.19,B8Iae,12000
12.46,475.844752,F7IV-V,6255
8.13,126.013011,K0III-IV,5052
8.05,94.126507,G3V,5995
6.44,120.494193,K1III,4583
7.32,46.603352,G0IV-V,5836
5.09,20.848868,F6V,6251
8.96,56.721185,G5IV,5699
10.95,58254.19,B0.5Ia+,22500
6.7,38.325125,F9.5V,5945
7.68,33.72611,G4V,5606
5.67,18.39606,G1IV,5888
8.69,43.843943,K0V,5230
8.08,25.754484,K0V,5104
5.94,39.244928,G4IV,5697
3.86,19.315863,A6V,8052
8.26,90.753896,K0IV,5222
10.29,164.644737,F7V,6228
5.97,15.33005,G4V,5641
7.17,12.877242,K2.5V,4977
8.65,40.777933,K1V,5035
6.74,33.112908,F8V,5929
8.95,56.414584,G9V,5287
11.25,333.888489,G8IV,5555
8.03,80.329462,G0IV-V,6199
7.71,50.282564,G5IV/V,5634
6.37,21.768671,G1.5V,5803
8.07,32.806307,G8V,5434
12.78,776.313732,F9V,6090
7.88,48.749559,G5V,5754
8.13,34.339312,K0V,5312
11.72,266.436269,G0V,6346
5.88,55.801382,K0III-IV,4978
14.66,1229.163409,G2V,5878
14.99,869.827037,G9V,5439
7.84,34.952514,K1IV,5199
11.9,847.138563,F8IV,6224
7.79,39.551529,G6V,5675
3.97,19.622464,K1III,4792
5.26,123.253602,K1III,4379
8.07,85.541679,G5IV/V,5686
15.52,1152.513159,G2V,5676
11.38,212.781094,G3V,5723
13.57,478.604161,G1V,5799
15.04,1309.492871,G0V,5946
8.1,44.150544,G5V,5482
7.22,45.99015,G1IV,5902
16.03,1337.700163,F9V,6035
6.86,30.046898,F8V,5902
8.17,34.952514,K0IV,5233
11.66,142.569465,K0V,5275
14.01,1230.696414,F9V,6102
6.3,28.820494,G0V,6025
11.82,305.681197,F8V,6373
13.67,1104.376802,F0V,6193
12.35,481.670171,F7V,6344
10.65,293.417157,F5V,5696
11.34,69.598427,K7V,4595
5.45,96.885916,K2III,4987
11.89,418.816966,F7V,6402
4.46,25.447883,F6IV-V,6095
9.45,766.195899,G9IV-V,5387
9.37,34.645913,K3Vk,4731
1.15,10.424434,K0IIIb,4666
12.13,270.115481,G8V,5510
8.1,33.112908,G9V,5223
11.25,148.701485,K0V,5336
7.98,35.565716,G5V,5533
8.01,54.881579,G5IV,5752
13.7,19.315863,DQ D,14641
12.46,535.325346,F9V,6096
10.36,285.752132,F7IV,6247
8.21,54.574978,G0V,5767
5.95,12.570641,K0V,5385
7.18,28.207292,G5V,5533
13.42,733.389592,G4IV,5722
8.7,45.683549,G1.5V,5737
7.48,49.975963,G0V,5821
8.89,54.268377,K0V,5317
8.08,37.711923,G8V,5321
9,100.565128,G6V,5470
8.24,80.942664,G5IV,4952
10.42,213.394296,G4IV,5638
5.79,78.489856,K1III,4415
12.98,15.33005,M3.5V,3192
7.61,64.38621,G0IV,6039
10.64,224.431932,F6V,6408
6.36,29.127095,G0V,6011
5.95,12.26404,G8V,5217
8.04,75.730447,G0IV,6021
8.12,60.400397,G6V,5458
10.24,67.45222,K5V,4601
8.03,45.99015,G3V,5736
10.42,156.059909,G1V,5826
8.93,177.521979,G5V,5370
7.71,33.112908,G2V,5623
5.41,85.84828,K0III-IV,4753
6.54,27.59409,G0V,5874
7.78,125.399809,K0III,5112
8.24,41.084534,K0V,5462
8.55,32.499706,K1.5V,4877
7.67,11.037636,K5V,4715
12.28,250.493017,G8V,5456
8.74,95.352911,F8V,6028
7.93,45.376948,G2V,5845
7.42,68.678624,F7V,6214
9.86,42.617539,K3V,4746
7.56,18.089459,K0V,4976
8.07,81.555866,G5IV,5494
9.75,158.206116,K2II,4127
7.01,32.499706,G0V,5834
12.4,75.730447,K7V,4404
2.12,39.85813,K1IIIb,4391
5.74,39.551529,F7V,6166
9.76,82.169068,G5V,5302
6.44,77.570053,G5III,5098
6.95,22.381873,G5V,5671
13.78,187.946413,K5V,4733
11.55,384.477654,F4V,6578
14.85,1620.692886,F8V,6280
7.11,35.565716,G5V,5559
8.33,27.900691,K3V,4826
7.49,42.310938,G2V,5779
16.21,1584.820569,K1V,6279
16.08,1720.644812,G6V,4205
16.96,1515.222142,K2V,4936
10,66.839018,G4V,5400
11.95,19.929065,M2.5V,3638
7.95,139.196854,K0D,5002
5.1,14.103646,G0V,5892
10.28,119.57439,G5V,5668
8.37,157.899515,K0III,5148
8.08,86.768083,G5D,5771
7.43,484.122979,K2III,4152
6.5,25.754484,G0V,5965
14.36,1900.9262,F3V,6933
16.84,3897.511912,G0V,5984
7.76,21.155469,K1V,5170
17.46,400.114305,DA+M5V,16487
11.66,430.161203,F9V,6233
8.83,49.975963,K0V,5272
11.46,254.172229,G3V,5588
7.57,18.089459,K2V,4875
7.81,128.77242,K0III,4932
6.44,122.333799,G9III,4861
9.79,8.891429,M1.5V,3553
8.42,49.669362,K0V,5582
11.88,11.037636,M4V,3189
10.68,10.117833,M2.5V,3318
8.21,29.127095,K1V,5106
8.96,26.061085,K5V,4641
7.47,39.551529,G6V,5432
8.06,29.740297,G8V,5291
8.71,244.054396,K2III,4908
4.89,9.19803,G2V,5652
7.85,126.319612,K0III,5054
9.41,53.041973,G3IV,5607
7.93,21.155469,K2V,4799
5.8,97.192517,G9III,6397
12.03,420.656572,F8V,6311
18.88,52.428771,M8V,2446
12.56,248.960012,G9V,5333
7.97,35.259115,G5IV,5624
8.03,51.202367,G5IV,5797
7,38.018524,F9V,6067
7.89,139.196854,K0III,4956
8.74,62.546604,G5V,5407
8.77,65.919215,G0V,5844
12.26,316.718833,G5V,5583
8.17,56.414584,K1Vp,4944
4.66,90.140694,K2III,4445
10.93,491.788004,sdB+MV,16550
7.61,29.433696,G8V,5407
24.31,300.46898,pulsar,28856
9.76,11.650838,M2Ve,3683
11.87,168.63055,G4V,5762
9.1,15.943252,K9V,4685
8.81,28.820494,K3V,4351
7.3,38.631726,F9V,5934
7.57,20.542267,K0V,5105
6.69,36.178918,G3V,5662
4.74,8.584828,G5V,5531
8.04,123.253602,K1III-IV,4951
5,18.089459,G4V,5432
7.28,33.112908,G8IV/V,5432
7.18,38.018524,G2V,5861
8.07,88.607689,K0V,5200
13.3,8259.83094,sdB,33247
11.86,141.03646,K0V,5185
4.5,15.636651,F7V,6309
13.32,208.48868,K4V,4645
11.81,325.303661,G7V,5878
7.55,45.070347,G2V,5834
12.84,142.569465,K4V,4652
12.68,241.294987,K1V,5016
5.48,134.597839,K3III,4260
11.76,133.678036,K1V,5079
11.29,240.068583,G3V,5547
8.33,54.268377,G3V,5897
9.03,27.900691,K4Vk,4520
11.53,257.851441,G2V,5831
8.7,72.664437,K0IV,5585
7.85,38.018524,G4V,5633
12.11,232.710159,G8V,5398
10.37,23.608277,K7Vk,4283
7.51,16.556454,K0V,4965
1.33,1.33678036,K1V,5260
8.81,65.612614,G8V,5233
8.05,31.579903,K0V,5260
12.71,337.874302,G2V,5791
7.96,110.069759,K0III-IV,4927
12.21,203.889665,G8V,5226
8.45,67.758821,G0V,5885
9.47,96.272714,G0V,5985
19.57,21.155469,T9.5,531
11.35,325.610262,F9V,6074
6.3,24.221479,G0V,5944
6.45,26.061085,G5V,5559
6.85,26.367686,G6IV,5520
10.44,115.281976,G8V,5266
5.02,122.027198,K4III,4344
7.88,98.11232,G5III,5071
10.56,6.13202,M3V,3484
11.02,308.747207,F9V,5857
5.65,14.716848,G4V,5610
3.31,30.966701,K2III,4445
17.38,2744.07895,K1V,5103
12.53,65.919215,K9V,4110
5.98,118.041385,K4III,4703
8.71,39.244928,K0.4V,5240
9.03,49.669362,G5IV,6295
4.82,30.353499,K1IVa,4921
7.25,32.193105,G3V,5821
16.67,488.415393,WD+M,18858
7.63,109.456557,K0III,4878
7.34,34.339312,G1V,5834
11.59,445.184652,F6V,6549
9.2,65.612614,G0V,5821
11.28,204.196266,G1V,5824
12.97,144.715672,K7V,4062
6.57,126.013011,K4V,4757
7.69,34.339312,K0V,5382
6.67,17.476257,K0V,5311
8.12,54.881579,G3V,6046
11.34,14.410247,M3V,3191
9.39,112.522567,F8IV,6152
8.71,114.362173,F8IV,6289
8.37,42.92414,G9V,5441
24.19,3764.753679,pulsar+DB,29418
5.38,12.877242,G5V,5701
7.71,51.508968,G1V,5810
6.9,59.173993,K0IV,5052
8.16,79.409659,G0IV,6147
7.9,61.933402,G0IV,5732
7.22,29.433696,G0V,5801
9.2,83.395472,G6V,5499
8.54,185.493605,K0III,5155
8.56,91.060497,G3IV,5749
9.62,10.424434,M1V,3703
6.74,18.702661,G8V,5468
6.58,17.782858,K0IV,5205
7.38,49.669362,F8V,6076
23.38,7299.250007,K8V,4120
12.76,166.484343,K2V,4804
7.27,44.150544,G0V,5760
8.22,64.692811,G3IV,5714
7.25,64.079609,G5V,5445
8.08,36.485519,K0V,5453
14.67,12.877242,M4.5V,3026
8.42,24.52808,K2V,4917
10.22,7.051823,M1.5V,3950
22.75,1345.058587,pulsar,32451
6.67,54.881579,G1Vw,5794
9.98,205.42267,F5V,6602
7.86,31.886504,G8.5V,5348
7.64,103.631138,K3III,4897
9.36,4.5376948,M2.5V,3614
9.59,16.556454,M0V,3857
7.24,58.560791,G5V,5395
5.15,15.636651,G3IV-V,5704
22.56,3042.401723,M1V,4026
19.78,2939.383787,M1V,3891
15.78,1376.025288,G6V,5632
12.4,347.378933,G4V,5722
19.87,1487.01485,M1V,3998
11.59,437.213026,F9V,6186
8.15,68.678624,G5IV,5543
27.85,5659.85446,M5V,2986
27.98,6516.191053,M5V,3241
16.31,7151.161724,M1.5V,3787
22.79,5897.470235,K7V,4233
16.56,1612.108058,G9V,5820
15.37,2104.202663,F8V,6234
19.83,1983.401869,K5V,5947
8.24,52.428771,G5V,5922
7.01,22.075272,K0V,5385
10.04,41.084534,K2V,4850
20.52,5233.065868,K2V,4155
20.93,2875.610779,K8V,4015
11.66,354.430756,F9V,6065
19.75,6123.435172,K8V,4188
27.46,987.25522,M8V,2486
24.95,5744.169735,M3V,3510
5.95,50.282564,K1III,5018
11.95,338.180903,G9IV,5960
6.92,37.405322,G5IV,5546
7.95,42.617539,G5IV,5495
4.83,96.579315,K1.5III,4196
13.31,420.349971,K3IV,4733
5.91,36.485519,F9V,6266
8.22,62.853205,G5IV,5810
8.31,90.140694,G0IV,5663
15.46,1705.314762,G5V,5601
10.49,222.592326,F7V,6426
8.66,50.282564,K0V,5467
15.63,1633.263527,G0V,5877
12.94,559.546825,F6V,6441
13.71,458.981697,G3V,5624
6.06,139.503455,G8III,4683
13.88,1132.890695,F5V,6092
13.91,1330.035138,F9V,6213
12.73,84.621876,K9V,4240
8.03,127.239415,G8IV,5060
9.71,65.919215,G,5417
7.84,15.023449,K1V,5021
15.35,1467.392386,G4V,5619
13.23,411.151941,G6V,5497
15.64,1343.525582,G5V,5587
16.33,1430.600266,K5V,4478
9.18,67.45222,G5IV/V,5674
14.38,1964.392607,G0IV,6041
15.39,1677.414071,G6V,5498
13.91,844.379154,G2V,5722
12.68,500.066231,G0V,5857
10.96,172.922964,G5V,5627
11.37,156.673111,K0V,5177
7.18,59.173993,K0IV,4948
11.09,823.223685,F8.5IV-V,6192
11.41,218.299912,G0V,5853
7.98,42.617539,G5V,5372
8.25,112.829168,F6IV,6131
12.51,290.657748,G8V,5466
12.12,980.203397,F8IV,6395
7.96,65.612614,G5IV,5724
13.93,1035.391577,G1V,5933
6.25,27.59409,F8V,6260
12.33,108.843355,K5V,4438
14.33,1278.219569,G0IV,5904
12.38,189.172817,G5V,5518
7.78,110.37636,K0III/IV,5030
7.55,110.682961,K0III,5014
15.55,1524.420172,G2V,5823
12.04,213.087695,G5V,5541
7.86,57.947589,G1V,5781
15.22,346.152529,K1V,5073
11.06,281.766319,F8V,5986
8.38,26.674287,K5V,4962
14.8,381.718245,K1V,5079
12.57,284.832329,K0V,5204
7.86,55.18818,G2IV,5888
15.42,1511.54293,K4V,4590
16.12,38.631726,M6V,3068
13.62,1098.551383,G7V,5399
10.46,317.945237,F8IV,6351
15.46,1857.388858,G0V,5958
16.88,333.275287,M0V,3821
8.99,118.347986,F8V,6208
15.6,1423.548443,F7V,6340
14.22,1566.424509,G3IV,5760
6.68,50.282564,G0IV,5978
15.51,1644.914365,G5V,5606
14.5,729.097178,G5V,5664
13.41,957.208322,G0IV,5947
6.2,21.155469,G3V,5766
12.51,225.045134,K0V,5219
13.79,571.197663,G6V,5595
14.87,1180.107249,B4VI,27733
15.25,1498.665688,G0V,5913
7.83,48.136357,G5V,5714
14.76,2735.494122,F5IV,6510
13.83,773.247722,G4V,5647
13.69,612.895399,G4V,5681
7.22,44.150544,G0V,6011
9.59,36.485519,K4V,4776
15.68,1003.505073,M1V,3910
8.22,57.027786,G5IV,5520
14.18,713.153926,G8V,5383
14.87,1063.598869,G5V,5593
15.5,1833.780581,G2V,5756
13.99,701.196487,G5V,5633
4.72,56.414584,G9IIIb,4750
13.89,1277.606367,F8V,6297
14.98,2231.135477,G2IV,5757
7.68,19.315863,K1V,4954
5.71,15.943252,G6IV,5588
6.07,17.782858,G2V,5756
7.78,57.334387,G5V,5628
8.73,183.347398,F8V,5988
10.16,257.54484,F7V,6442
12.84,207.875478,K3V,4861
7.79,19.315863,K2V,4965
5.72,8.891429,K1V,5144
6.45,65.612614,G8IV,5220
13.72,359.642973,K0V,5171
11.94,393.369083,G5V,5905
6.91,38.631726,G3IV-V,5842
11.98,1048.882021,K1V,5246
7.59,49.975963,G3V,5874
6.81,32.193105,F7V,6142
6.4,33.419509,F8IV,5915
12.36,307.214202,G8V,5501
9.51,139.503455,F5V,6386
5.52,75.423846,G6III,4975
11.9,89.220891,K3V,4979
6.49,68.372023,K0III,5164
9.66,48.442958,K2V,5008
12.91,412.071744,G6V,5621
8.08,45.376948,G6V,5750
12.5,91.367098,K5V,4675
7.99,47.523155,G5V,5767
8.45,26.980888,K2V,5056
8.66,4.9362761,M1.5V,3759
8.57,107.923552,F7V,6176
10.54,90.447295,K0V,5246
8.35,193.771832,K0III,4874
9.87,175.069171,F5V,6475
7.48,45.99015,G2V,5929
13.4,320.091444,K2V,4818
7.65,49.669362,G0V,5942
14.57,1403.312777,sdB,29317
11.91,204.502867,G9V,5372
10.93,307.827404,F5V,6315
6.63,21.46207,G0V,5532
10.42,9.19803,M3.5V,3451
5.94,54.881579,K1IV,5010
11.47,295.256763,G5IV,5612
7.6,131.225228,G8IV,5121
7.77,54.881579,F8V,5998
6.8,40.777933,G4IV,5984
8.13,21.46207,K0V,5140
6.63,38.018524,G0.5V,5885
8.97,43.537342,K3V,4852
10.17,232.403558,F6.4V,6199
10.17,4.6909953,M4V,3348
6.03,32.499706,G0IV,5767
6.06,26.674287,G2.5IV,5636
8.1,35.565716,K1V,5248
5.49,15.636651,G2V,5793
1.16,7.70488313,A3V,8590
10.4,138.890253,G0V,5975
6.18,19.929065,G8IV,5646
7.79,54.881579,F8V,5966
5.96,39.551529,A5V,7429
8.63,28.513893,K3V,4820
11.55,229.95075,G3V,5779
8.33,142.569465,K3III,4290
8.19,5333.630996,K2III,4361
4.21,45.99015,K0III,5248
8.04,72.357836,G0IV,5891
7.77,44.457145,G3V,5728
7.09,50.895766,F9V,5940
5.22,79.103058,G8III,4813
7.83,55.18818,F7V,6304
12.6,260.61085,K2V,5493
11.99,334.19509,F8V,6115
10.54,198.984049,F7V,6571
3.23,14.103646,K2IV,4792
7.7,41.697736,G5V,5662
11.33,80.636063,K4V,4779
12.26,297.40297,G4V,5714
9.89,48.749559,K2V,5623
8.23,98.418921,G2IV,6037
